Species,Authority,Family,Species_OtherName,Symmetry,Symmetry.note,Symmetry.reference,Symmetry.Sauquet,Symmetry.Reyes,Symmetry.Kalisz,Species.Sauquet.Original,Reference.Sauquet,Species.Reyes.Original,Ref.Reyes,Species.Kalisz.Original,Ref.Kalisz,Cleistogamy,Type.Cleistogamy,Reference.Cleistogamy,Comments.Cleistogamy,SCindex,AutofertilityIndex
Erica_spiculifolia,,Ericaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Bruckenthalia spiculifolia,1,0,,,,,
Erica_willmorei,,Ericaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Erica wilmorei,1,0,,,,,
Erigenia_bulbosa,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Erigenia bulbosa,1,0,,,,,
Erigeron_alpinus,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Erigeron alpinus,2,0,,,,,
Erigeron_compositus,,Compositae,,Act,,Reyes et al. 2016; ,,Zygo,,,,Erigeron compositus,Reyes et al. 2016,,,0,,,,,
Erigeron_glabellus,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Erigeron glabellus,2,0,,,,,
Erigeron_uniflorus,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Erigeron uniflorus,2,0,,,,,
Erinus_alpinus,,Plantaginaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Erinus alpinus,1,0,,,,,
Eriocaulon_aquaticum,,Eriocaulaceae,,Zygo,,"Sauquet et al., 2017; Reyes et al. 2016; ",Zygo,Zygo,,Eriocaulon aquaticum,"Sauquet et al., 2017",Eriocaulon aquaticum,Reyes et al. 2016,,,0,,,,,
Eritrichium_aretioides,,Boraginaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Eritrichium aretioides,1,0,,,,,
Erodium_maritimum,,Geraniaceae,Pelargonium chamaedryfolium (Kew),Act,,Reyes et al. 2016; ,,Act,,,,Erodium maritimum,Reyes et al. 2016,,,0,,,,,
Erodium_pelargoniflorum,,Geraniaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Erodium pelargoniflorum,Reyes et al. 2016,,,0,,,,,
Eryngium_campestre,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Eryngium campestre,1,0,,,,,
Eryngium_maritimum,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Eryngium maritimum,1,0,,,,,
Eryngium_vesiculosum,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Eryngium vesiculosum,1,0,,,,,
Erythrina_crista-galli,,Leguminosae,,Zygo,,"Sauquet et al., 2017; ",Zygo,,,Erythrina cristagalli,"Sauquet et al., 2017",,,,,0,,,,0.738448523,0.15091761
Erythrospermum_zeylanicum,,Achariaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Erythrospermum phytolaccoides,"Sauquet et al., 2017",,,,,0,,,,,
Erythroxylum_confusum,,Erythroxylaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Erythroxylum confusum,"Sauquet et al., 2017",Erythroxylum confusum,Reyes et al. 2016,,,0,,,,,
Escallonia_rubra,,Escalloniaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Escallonia rubra,"Sauquet et al., 2017",,,,,0,,,,,
Eschscholzia_californica,,Papaveraceae,,Act,,"Sauquet et al., 2017; ",Act,,,Eschscholzia californica,"Sauquet et al., 2017",,,,,0,,,,,
Eschweilera_amazoniciformis,,Lecythidaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Eschweilera amazoniciformis,Reyes et al. 2016,,,0,,,,,
Eschweilera_ovata,,Lecythidaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Eschweilera ovata,Reyes et al. 2016,,,0,,,,,
Eucalyptus_lehmannii,,Myrtaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Eucalyptus lehmannii,"Sauquet et al., 2017",,,,,0,,,,,
Eucarpha_deplanchei,,Proteaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Eucarpha deplanchei,Reyes et al. 2016,,,0,,,,,
Euclea_crispa,,Ebenaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Euclea crispa,"Sauquet et al., 2017",,,,,0,,,,,
Eucnide_bartonioides,,Loasaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Eucnide bartonioides,"Sauquet et al., 2017",,,,,0,,,,,
Eucryphia_lucida,,Cunoniaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Eucryphia lucida,"Sauquet et al., 2017",Eucryphia lucida,Reyes et al. 2016,,,0,,,,,
Euonymus_americanus,,Celastraceae,,Act,,"Sauquet et al., 2017; ",Act,,,Euonymus americanus,"Sauquet et al., 2017",,,,,0,,,,,
Eupatorium_cannabinum,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Eupatorium cannabinum,2,0,,,,,
Euphrasia_arctica,,Orobanchaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Euphrasia arctica,1,0,,,,,
Euphrasia_lutea,,Orobanchaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Euphrasia lutea,1,0,,,,,
Euphrasia_montana,,Orobanchaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Euphrasia montana,1,0,,,,,
Euphrasia_officinalis,,Orobanchaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Euphrasia officinalis,1,0,,,,,
Euphrasia_salisburgensis,,Orobanchaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Euphrasia salisburgensis,1,0,,,,,
Euphronia_guianensis,,Euphroniaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Euphronia guianensis,"Sauquet et al., 2017",Euphronia guianensis,Reyes et al. 2016,,,0,,,,,
Eupomatia_bennettii,,Eupomatiaceae,,Act,, https://www.gbif.org/occurrence/1632963253,,,,,,Eupomatia bennettii,,,,0,,,,,
Eurya_japonica,,Pentaphylacaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Eurya japonica,"Sauquet et al., 2017",,,,,0,,,,,
Euryale_ferox,,Nymphaeaceae,,Act,, https://www.inaturalist.org/taxa/183481-Euryale-ferox,,,,,,,,,,1,dimorphic,Kadono & Schneider 1987,,,
Eurybia_divaricata,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Aster divaricatus,2,0,,,,,
Eurybia_furcata,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Aster furcatus,2,0,,,,,
