og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch,pollination,sym_RS_scored,Accepted_name,Accepted_name_rank,Accepted_family,Accepted_genus,sym_species,sym_genus,sym_family,rank_sym_scored_at,sym_data_source,sym_data_reference,latitude_data_entry_notes
Trifolium.alpinum,Fabaceae,4.2,0.464758002,3,"Furka Pass, Alps (Switzerland)",NA,NA,2600,Alpine meadow,Trunschke & Stocklin (2017). Alp. Bot. 127: 41-51.,NA,NA,NA,NA,7.46,0.45,NA,marcoshighquality marcoshighquality,4.2,Trifolium alpinum,NA,NA,Trifolium alpinum,species,Fabaceae,Trifolium,zygomorphic,zygomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,
Trillium.catesbaei,Melanthiaceae,16.5,0.528087294,3,"Oosting NA & Gate 24 of Duke Forest, North Carolina (USA)",35.981256,NA,NA,Temperate forest,Motten (1986). Ecol. Monogr. 56: 21-42.,NA,NA,0,Apr-May.,NA,NA,NA,marcoshighquality,16.5,Trillium catesbaei,NA,NA,Trillium catesbaei,species,Melanthiaceae,Trillium,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,
Tuberaria.bupleurifolia,Cistaceae,4.5 to 5 h,NA,NA,"Quinta de Sao Pedro RS, Sobreda (Portugal)",38.650977,NA,NA,Mediterranean scrubland,Brandt & Gottsberger (1988). Lagascalia 15 (extra): 625-634.,NA,SI,NA,May-Jun.,NA,NA,Open in the morning,marcoshighquality,0.197916667,Tuberaria bupleurifolia,NA,NA,Tuberaria bupleurifolia,species,Cistaceae,Tuberaria,actinomorphic,actinomorphic,actinomorphic,family,explicit from the text (described as such),Kubitzki series,
Tuberaria.guttata,Cistaceae,4.5 to 5 h,NA,NA,"Quinta de Sao Pedro RS, Sobreda (Portugal)",38.650977,NA,NA,Mediterranean scrubland,Brandt & Gottsberger (1988). Lagascalia 15 (extra): 625-634.,NA,SI,NA,May-Jun.,NA,NA,Open in the morning,marcoshighquality,0.197916667,Tuberaria guttata,NA,NA,Tuberaria guttata,species,Cistaceae,Tuberaria,actinomorphic,actinomorphic,actinomorphic,NA,NA,NA,
Uvularia.sessilifolia,Colchicaceae,5.7,0.332273806,3,"Gate 24 of Duke Forest, North Carolina (USA)",35.981256,NA,NA,Temperate forest,Motten (1986). Ecol. Monogr. 56: 21-42.,NA,NA,1,Apr-May.,NA,NA,NA,marcoshighquality,5.7,Uvularia sessilifolia,NA,NA,Uvularia sessilifolia,species,Colchicaceae,Uvularia,actinomorphic,actinomorphic,actinomorphic,NA,NA,NA,
Verbena.hastata,Verbenaceae,2.077922078,0.031190408,2,"Dickinson county, Iowa (USA)",NA,NA,NA,NA,Cruden et al. (1990). Jour. Iowa Acad. Sci. 97: 178-183.,NA,SC Fac Xen,1,NA,NA,NA,NA,marcoshighquality,2.077922078,Verbena hastata,NA,NA,Verbena hastata,species,Verbenaceae,Verbena,zygomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,POWO,
Verbena.stricta,Verbenaceae,2.20112782,0.040233903,2,"Dickinson county, Iowa (USA)",NA,NA,NA,NA,Cruden et al. (1990). Jour. Iowa Acad. Sci. 97: 178-183.,NA,SC Fac Xen,1,NA,NA,NA,NA,marcoshighquality,2.20112782,Verbena stricta,NA,NA,Verbena stricta,species,Verbenaceae,Verbena,zygomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,
Verbena.urticifolia,Verbenaceae,< 24 h,NA,0,"Iowa Lakeside Laboratory, Iowa (USA)",NA,NA,NA,NA,Cruden et al. (1990). Jour. Iowa Acad. Sci. 97: 178-183.,NA,SC Fac Xen,1,NA,NA,NA,NA,marcoshighquality,1,Verbena urticifolia,NA,NA,Verbena urticifolia,species,Verbenaceae,Verbena,actinomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,NA,NA,NA,
Viola.hirta,Violaceae,7,NA,NA,"Mickelham, Surrey (UK)",NA,NA,NA,Meadow,Beattie (1969). New Phytol. 68: 1187-1201.,NA,SC,1,Mar-Apr.,NA,NA,NA,marcoshighquality,7,Viola hirta,NA,NA,Viola hirta,species,Violaceae,Viola,zygomorphic,zygomorphic,actinomorphic zygomorphic,NA,NA,NA,
Viola.reichenbachiana,Violaceae,7,NA,NA,"Mickelham, Surrey (UK)",NA,NA,NA,Meadow,Beattie (1969). New Phytol. 68: 1187-1201.,NA,SC,1,Apr-May.,NA,NA,NA,marcoshighquality,7,Viola reichenbachiana,NA,NA,Viola reichenbachiana,species,Violaceae,Viola,zygomorphic,zygomorphic,actinomorphic zygomorphic,NA,NA,NA,
Viola.riviniana,Violaceae,7,NA,NA,"Mickelham, Surrey (UK)",NA,NA,NA,Meadow,Beattie (1969). New Phytol. 68: 1187-1201.,NA,SC,1,Apr-May.,NA,NA,NA,marcoshighquality,7,Viola riviniana,NA,NA,Viola riviniana,species,Violaceae,Viola,zygomorphic,zygomorphic,actinomorphic zygomorphic,NA,NA,NA,
Viscum.cruciatum,Viscaceae,7 to 14 d,NA,0,"3 sites at P N Sierra de Grazalema, Cádiz (Spain)",NA,NA,660 to 1260,Mediterranean forest,Aparicio et al. (1995). Int. J. Plant Sci. 156: 42-49.,NA,NA,"male: 0, female: 1",Jan-Mar. D species. Data are valid for both sexes.,NA,NA,NA,marcoshighquality,10.5,Viscum cruciatum,NA,NA,Viscum cruciatum,species,Santalaceae,Viscum,actinomorphic,actinomorphic,actinomorphic,species,seen explicitly on the illustration,iNaturalist,
Whitania.aristata,Solanaceae,4,NA,0,"7 sites in Tenerife, Canary Islands (Spain)",NA,NA,NA,Lowland scrubland,Anderson et al. (2006). Amer. J. Bot. 93: 1295-1305.,NA,NA,1,All year. D species. Data are valid for females.,NA,NA,NA,marcoshighquality,4,Whitania aristata,NA,NA,Withania aristata,species,Solanaceae,Withania,actinomorphic,actinomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,
Mimulus.ringens,Phrymaceae,0.5,NA,NA,NA,NA,NA,NA,NA,Jeffrey Karron (pers. comm.),NA,NA,NA,NA,NA,NA,NA,marcoshighquality,0.5,Mimulus ringens,NA,NA,Mimulus ringens,species,Phrymaceae,Mimulus,zygomorphic,zygomorphic,zygomorphic,NA,NA,NA,
Claytonia.virginica,Montiaceae,3,NA,0,"Brownfield Woods, Illinois (USA)",NA,NA,NA,Temperate forest,Schemske et al. (1978). Ecology 59: 351-366.,NA,SC,NA,Mar-Apr.,NA,NA,NA,marcoslowquality marcoscommunity,3,Claytonia virginica,NA,NA,Claytonia virginica,species,Montiaceae,Claytonia,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,
