og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch
Clematis.flammula,Ranunculaceae,11.7,0.3,3,10 sites in 3 islands of Balearic islands (Spain),NA,NA,NA,Mediterranean shrublands and forest,Tomàs et al. (2022). S. Afr. J. Bot. 151: 85-94.,NA,SC,1,Jun-Aug.,NA,NA,NA,marcoshighquality,11.7,Clematis flammula
Cethra.alnifolia,Clethraceae,3,NA,1,"Great Swamp, Rhode Island (USA)",41.48333333,-71.53333333,NA,Marsh,Rathcke (1988). J. Ecol. 76: 975-994.,NA,SC Aut,NA,Late Jul-Aug. Median value provided (mode = 3).,NA,NA,NA,marcoshighquality,3,Cethra alnifolia
Clethra.lanata,Clethraceae,3.5,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3.5,Clethra lanata
Clusia.arrudae,Clusiaceae,4,NA,NA,"Brumadinho, Minas Gerais (Brazil)",-20.09333333,-4.983333333,1480,Campo rupestre (=rocky grassland),Carmo & Franceschinelli (2002). Revista Brasil. Bot. 25: 351-360.,NA,NA,NA,"D species. Data for females. The main pollinator is ""rare"".",NA,NA,NA,marcoshighquality,4,Clusia arrudae
Clusia.grandiflora,Clusiaceae,0.5,NA,NA,"Manaus, Amazonas (Brazil)",-3.116666667,-60.01666667,NA,NA,Bittrich & Amaral (1997) Kew Bull. 52: 617-635.,NA,NA,NA,D species. Data are valid for both sexes.,NA,NA,NA,marcoshighquality,0.5,Clusia grandiflora
Clusia.insignis,Clusiaceae,0.5,NA,NA,"Manaus, Amazonas (Brazil)",-3.116666667,-60.01666667,NA,NA,Bittrich & Amaral (1997) Kew Bull. 52: 617-635.,NA,NA,NA,"D species. Data are valid for both sexes. Very frequent visits (67 in 4 hours, 89 in 4 hours).",NA,NA,NA,marcoshighquality,0.5,Clusia insignis
Clusia.nemorosa,Clusiaceae,1,NA,NA,"Recife, Pernambuco (Brazil)",-8.125,-34.875,NA,Atlantic forest,Lopes & Machado (1998). Plant Syst. Evol. 213: 71-90.,NA,NA,NA,D species. Same longevity for both sexes.,NA,NA,NA,marcoshighquality,1,Clusia nemorosa
Clusia.nemorosa,Clusiaceae,1,NA,NA,"Manaus, Amazonas (Brazil)",-3.116666667,-60.01666667,NA,NA,Bittrich & Amaral (1997) Kew Bull. 52: 617-635.,NA,NA,NA,D species. Same longevity for both sexes.,NA,NA,NA,marcoshighquality,1,Clusia nemorosa
Clusia.renggerioides,Clusiaceae,1,NA,NA,"Manaus, Amazonas (Brazil)",-3.116666667,-60.01666667,NA,White sand campina,Bittrich & Amaral (1997) Kew Bull. 52: 617-635.,NA,NA,NA,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,1,Clusia renggerioides
Clusia.renggerioides,Clusiaceae,up to 3 d,NA,NA,NA,NA,NA,NA,NA,Bittrich & Amaral (1997) Kew Bull. 52: 617-635.,NA,NA,NA,D species. Dafa for females.,NA,NA,NA,marcoshighquality marcoshighquality,3,Clusia renggerioides
