og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch,pollination,sym_RS_scored,Accepted_name,Accepted_name_rank,Accepted_family,Accepted_genus,sym_genus,sym_family,sym_species
Salvia fulgens,Lamiaceae,NA,NA,NA,NA,19.64555556,NA,2960,NA,"Cuevas, E., Espino, J. & Marques, I. (2018). Reproductive isolation between Salvia elegans and S.?fulgens, two hummingbird-pollinated sympatric sages. Plant Biology, 20, 1075-1082.",NA,Y,NA,NA,NA,NA,NA,songetal20223,3.5,Salvia fulgens,vertebrate,NA,Salvia fulgens,species,Lamiaceae,Salvia,zygomorphic,actinomorphic zygomorphic,zygomorphic
Salvia gesneriflora,Lamiaceae,NA,NA,NA,NA,19.83333333,NA,2700,NA,"Cuevas, E. & Rosas-Guerrero, V. (2016). Spatio-temporal variation of nectar robbing in Salvia gesneriflora and its effects on nectar production and legitimate visitors. Plant Biology, 18, 9-14.",NA,Y,NA,NA,NA,NA,NA,songetal20223,4.3,Salvia gesneriflora,vertebrate,NA,Salvia gesneriflora,species,Lamiaceae,Salvia,zygomorphic,actinomorphic zygomorphic,NA
Salvia przewalskii,Lamiaceae,NA,NA,NA,NA,27.90138889,NA,3325,NA,"Gao, J., Yingze, X. & Huang, S.-Q. (2015). Effects of floral sexual investment and dichogamy on floral longevity. Journal of Plant Ecology, 8, 116-121.",NA,NA,NA,NA,NA,NA,NA,songetal20223,2.24,Salvia przewalskii,invertebrate,NA,Salvia przewalskii,species,Lamiaceae,Salvia,zygomorphic,actinomorphic zygomorphic,NA
Salvia sclareoides,Lamiaceae,NA,NA,NA,NA,40.20314444,NA,75,NA,"Jorge, A., Loureiro, J. & Castro, S. (2015). Flower biology and breeding system of Salvia sclareoides Brot. (Lamiaceae). Plant Systematics and Evolution, 301, 1485-1497.",NA,Y,NA,NA,NA,NA,NA,songetal20223,2.94,Salvia sclareoides,invertebrate,NA,Salvia sclareoides,species,Lamiaceae,Salvia,zygomorphic,actinomorphic zygomorphic,zygomorphic
Salvia sellowiana,Lamiaceae,NA,NA,NA,NA,-22.4545,NA,1000,NA,"Aximoff, I.A. & Freitas, L. (2010). Is pollen removal or seed set favoured by flower longevity in a hummingbird-pollinated Salvia species? Annals of Botany, 106, 413-419.",NA,Y,NA,NA,NA,NA,NA,songetal20223,4,Salvia sellowiana,vertebrate,NA,Salvia sellowiana,species,Lamiaceae,Salvia,zygomorphic,actinomorphic zygomorphic,zygomorphic
Salvia tiliaefolia,Lamiaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,1,Salvia tiliaefolia,invertebrate,NA,Salvia tiliifolia,species,Lamiaceae,Salvia,zygomorphic,actinomorphic zygomorphic,NA
Salvia verbenaca,Lamiaceae,NA,NA,NA,NA,42.46111111,NA,669,NA,"Navarro, L. (1997). Is the dichogamy of Salvia verbenaca (Lamiaceae) an effective barrier to self-fertilization? Plant Systematics and Evolution, 207, 111-117.",NA,Y,NA,NA,NA,NA,NA,songetal20223,2.9,Salvia verbenaca,invertebrate,NA,Salvia verbenaca,species,Lamiaceae,Salvia,zygomorphic,actinomorphic zygomorphic,zygomorphic
Sarcocapnos pulcherrima,Papaveraceae,NA,NA,NA,NA,37.35,NA,1000,NA,"Salinas, M. & Suárez, V. (2003). Reproductive biology of Sarcocapnos pulcherrima Morales & Romero (Fumariaceae), a threatened species. Acta botanica gallica, 150, 137-146. Morales, C. & Romero García, A.T. 1991. A new species of the genus Sarcocapnos (Fumariaceae) from eastern Andalusia (Spain). Plant Systematics and Evolution, 177, 1–10",NA,Y,NA,NA,NA,NA,NA,songetal20223,13.3,Sarcocapnos pulcherrima,invertebrate,NA,Sarcocapnos pulcherrima,species,Papaveraceae,Sarcocapnos,zygomorphic,actinomorphic zygomorphic,zygomorphic
Satyria warszewiczii,Ericaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,Y,NA,NA,NA,NA,NA,songetal20223,1.3,Satyria warszewiczii,vertebrate,NA,Satyria warszewiczii,species,Ericaceae,Satyria,actinomorphic,actinomorphic zygomorphic,actinomorphic
Satyria warszewiczii,Ericaceae,NA,NA,NA,NA,9.566666667,NA,2572.5,NA,"Wesselingh, R.A., Witteveldt, M., Morissette, J. & den Nijs, H.C.M. (1999). Reproductive ecology of understory species in a tropical montane forest in Costa Rica. Biotropica, 31, 637-645.",NA,Y,NA,NA,NA,NA,NA,songetal20223,3.3,Satyria warszewiczii,vertebrate,NA,Satyria warszewiczii,species,Ericaceae,Satyria,actinomorphic,actinomorphic zygomorphic,actinomorphic
Saurauia montana,Actinidiaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,2.9,Saurauia montana,invertebrate,NA,Saurauia montana,species,Actinidiaceae,Saurauia,NA,actinomorphic,actinomorphic
Sauvagesia rubiginosa,Ochnaceae,NA,NA,NA,NA,8.933333333,NA,74,NA,"Ramirez, N. & Brito, Y. (1992). Pollination biology in a palm swamp community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society, 110, 277-302. Ramirez, N. & Brito, Y. (1990). Reproductive biology of a tropical palm swamp community in the venezuelan llanos, American Journal of Botany, 77: 1260-1271",NA,Y,NA,NA,NA,NA,NA,songetal20223,0.5,Sauvagesia rubiginosa,invertebrate,NA,Sauvagesia rubiginosa,species,Ochnaceae,Sauvagesia,actinomorphic,actinomorphic,actinomorphic
Saxifraga bryoides,Saxifragaceae,NA,NA,NA,NA,46.98333333,NA,2880,NA,"Steinacher, G. & Wagner, J. (2010). Flower longevity and duration of pistil receptivity in high mountain plants. Flora, 205, 376-387.",NA,Y,NA,NA,NA,NA,NA,songetal20223,6.8,Saxifraga bryoides,invertebrate,NA,Saxifraga bryoides,species,Saxifragaceae,Saxifraga,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Saxifraga caesia,Saxifragaceae,NA,NA,NA,NA,47.31305556,NA,2334,NA,"Steinacher, G. & Wagner, J. (2010). Flower longevity and duration of pistil receptivity in high mountain plants. Flora, 205, 376-387.",NA,NA,NA,NA,NA,NA,NA,songetal20223,17.1,Saxifraga caesia,invertebrate,NA,Saxifraga caesia,species,Saxifragaceae,Saxifraga,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Saxifraga exarata,Saxifragaceae,NA,NA,NA,NA,40.06666667,NA,2675,NA,"Makrodimos, N., Blionis, G.J., Krigas, N. & Vokou, D. (2008). Flower morphology, phenology and visitor patterns in an alpine community on Mt Olympos, Greece. Flora, 203, 449-468.",NA,NA,NA,NA,NA,NA,NA,songetal20223,13.4,Saxifraga exarata,NA,NA,Saxifraga exarata,species,Saxifragaceae,Saxifraga,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Saxifraga exarata,Saxifragaceae,NA,NA,NA,NA,40.06666667,NA,2675,NA,"Makrodimos, N., Blionis, G.J., Krigas, N. & Vokou, D. (2008). Flower morphology, phenology and visitor patterns in an alpine community on Mt Olympos, Greece. Flora, 203, 449-468.",NA,NA,NA,NA,NA,NA,NA,songetal20223,7,Saxifraga exarata,NA,NA,Saxifraga exarata,species,Saxifragaceae,Saxifraga,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Saxifraga glabella,Saxifragaceae,NA,NA,NA,NA,40.06666667,NA,2675,NA,"Makrodimos, N., Blionis, G.J., Krigas, N. & Vokou, D. (2008). Flower morphology, phenology and visitor patterns in an alpine community on Mt Olympos, Greece. Flora, 203, 449-468.",NA,NA,NA,NA,NA,NA,NA,songetal20223,7.3,Saxifraga glabella,NA,NA,Saxifraga glabella,species,Saxifragaceae,Saxifraga,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Saxifraga moschata,Saxifragaceae,NA,NA,NA,NA,47.31305556,NA,2334,NA,"Steinacher, G. & Wagner, J. (2010). Flower longevity and duration of pistil receptivity in high mountain plants. Flora, 205, 376-387.",NA,NA,NA,NA,NA,NA,NA,songetal20223,11.6,Saxifraga moschata,invertebrate,NA,Saxifraga moschata,species,Saxifragaceae,Saxifraga,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Saxifraga oppositifolia,Saxifragaceae,NA,NA,NA,NA,68.35,NA,985,NA,"Stenstr?m, M. & Molau, U. (1992). Reproductive Ecology of Saxifraga oppositifolia: Phenology, Mating System, and Reproductive Success. Arctic and Alpine Research, 24, 337-343.",NA,Y,NA,NA,NA,NA,NA,songetal20223,11.7,Saxifraga oppositifolia,invertebrate,NA,Saxifraga oppositifolia,species,Saxifragaceae,Saxifraga,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Saxifraga stellaris,Saxifragaceae,NA,NA,NA,NA,60.61666667,NA,1440,NA,"Sandvik, S.M., Totland, ?. & Nyléhn, J. (1999). Breeding System and Effects of Plant Size and Flowering Time on Reproductive Success in the Alpine Herb Saxifraga stellaris L. Arctic, Antarctic, and Alpine Research, 31, 196-201.",NA,Y,NA,NA,NA,NA,NA,songetal20223,7.5,Saxifraga stellaris,invertebrate,NA,Micranthes stellaris,species,Saxifragaceae,Micranthes,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Schinopsis brasiliensis,Anacardiaceae,NA,NA,NA,NA,-7.341861111,NA,460,NA,"Virgínia de Lima Leite, A. & Machado, I.C. (2010). Reproductive biology of woody species in Caatinga, a dry forest of northeastern Brazil. Journal of Arid Environments, 74, 1374-1380.",NA,N,NA,NA,NA,NA,NA,songetal20223,2.5,Schinopsis brasiliensis,invertebrate,NA,Schinopsis brasiliensis,species,Anacardiaceae,Schinopsis,NA,actinomorphic zygomorphic,actinomorphic
Schizolobium parahyba,Fabaceae,NA,NA,NA,NA,-23.33333333,NA,660,NA,"Pinheiro, M., Brito, V. & Sazima, M. (2018). Pollination biology of melittophilous legume tree species in the Atlantic Forest in Southeast Brazil. Acta Botanica Brasilica, 32, 410-425.",NA,N,NA,NA,NA,NA,NA,songetal20223,1.5,Schizolobium parahyba,invertebrate,NA,Schizolobium parahyba,species,Fabaceae,Schizolobium,actinomorphic,actinomorphic zygomorphic,actinomorphic
Schultesia brachyptera,Gentianaceae,NA,NA,NA,NA,8.933333333,NA,74,NA,"Ramirez, N. & Brito, Y. (1992). Pollination biology in a palm swamp community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society, 110, 277-302. Ramirez, N. & Brito, Y. (1990). Reproductive biology of a tropical palm swamp community in the venezuelan llanos, American Journal of Botany, 77: 1260-1271",NA,Y,NA,NA,NA,NA,NA,songetal20223,0.5,Schultesia brachyptera,invertebrate,NA,Schultesia brachyptera,species,Gentianaceae,Schultesia,actinomorphic,actinomorphic zygomorphic,actinomorphic
Sclerolobium paniculatum,Fabaceae,NA,NA,NA,NA,-15.86666667,NA,1087.5,NA,"Oliveira, P. & Gibbs, P. (2000). Reproductive biology of woody plants in a cerrado community of Central Brazil. Flora, 195, 311-329.",NA,N,NA,NA,NA,NA,NA,songetal20223,2,Sclerolobium paniculatum,invertebrate,NA,Tachigali vulgaris,species,Fabaceae,Tachigali,NA,actinomorphic zygomorphic,NA
Scutellaria alpina,Lamiaceae,NA,NA,NA,NA,40.06666667,NA,2675,NA,"Makrodimos, N., Blionis, G.J., Krigas, N. & Vokou, D. (2008). Flower morphology, phenology and visitor patterns in an alpine community on Mt Olympos, Greece. Flora, 203, 449-468.",NA,NA,NA,NA,NA,NA,NA,songetal20223,4.5,Scutellaria alpina,NA,NA,Scutellaria alpina,species,Lamiaceae,Scutellaria,zygomorphic,actinomorphic zygomorphic,NA
Sedum magellense,Crassulaceae,NA,NA,NA,NA,40.06666667,NA,2675,NA,"Makrodimos, N., Blionis, G.J., Krigas, N. & Vokou, D. (2008). Flower morphology, phenology and visitor patterns in an alpine community on Mt Olympos, Greece. Flora, 203, 449-468.",NA,NA,NA,NA,NA,NA,NA,songetal20223,2.4,Sedum magellense,NA,NA,Sedum magellense,species,Crassulaceae,Sedum,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Semiaquilegia adoxoides,Ranunculaceae,NA,NA,NA,NA,32.38483333,NA,481,NA,"Sun L. 2014. Study on breeding system and pollintion biology of three species in Tribe Isopyreae, Ranunculaceae. Shaanxi Normal University.",NA,Y,NA,NA,NA,NA,NA,songetal20223,6.5,Semiaquilegia adoxoides,invertebrate,NA,Semiaquilegia adoxoides,species,Ranunculaceae,Semiaquilegia,NA,actinomorphic zygomorphic,NA
Senna macranthera,Fabaceae,NA,NA,NA,NA,-23.33333333,NA,660,NA,"Pinheiro, M., Brito, V. & Sazima, M. (2018). Pollination biology of melittophilous legume tree species in the Atlantic Forest in Southeast Brazil. Acta Botanica Brasilica, 32, 410-425.",NA,N,NA,NA,NA,NA,NA,songetal20223,0.5,Senna macranthera,invertebrate,NA,Senna macranthera,species,Fabaceae,Senna,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Senna martiana,Fabaceae,NA,NA,NA,NA,-7.341861111,NA,460,NA,"Virgínia de Lima Leite, A. & Machado, I.C. (2010). Reproductive biology of woody species in Caatinga, a dry forest of northeastern Brazil. Journal of Arid Environments, 74, 1374-1380.",NA,N,NA,NA,NA,NA,NA,songetal20223,1,Senna martiana,invertebrate,NA,Senna martiana,species,Fabaceae,Senna,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Senna multijuga,Fabaceae,NA,NA,NA,NA,-23.33333333,NA,660,NA,"Pinheiro, M., Brito, V. & Sazima, M. (2018). Pollination biology of melittophilous legume tree species in the Atlantic Forest in Southeast Brazil. Acta Botanica Brasilica, 32, 410-425.",NA,N,NA,NA,NA,NA,NA,songetal20223,0.5,Senna multijuga,invertebrate,NA,Senna multijuga,species,Fabaceae,Senna,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Senna spectabilis,Fabaceae,NA,NA,NA,NA,-7.341861111,NA,460,NA,"Virgínia de Lima Leite, A. & Machado, I.C. (2010). Reproductive biology of woody species in Caatinga, a dry forest of northeastern Brazil. Journal of Arid Environments, 74, 1374-1380.",NA,N,NA,NA,NA,NA,NA,songetal20223,1,Senna spectabilis,invertebrate,NA,Senna spectabilis,species,Fabaceae,Senna,actinomorphic zygomorphic,actinomorphic zygomorphic,zygomorphic
Sesbania punicea,Fabaceae,NA,NA,NA,NA,18.09694444,NA,NA,NA,"Astrid Kodric-Brown, J.H.B., Gregory S. Byers and David F. Gori (1984). Organization of a tropical island community of humming? birds and flowers. Ecology, 65, 1358-1368.",NA,N,NA,NA,NA,NA,NA,songetal20223,0.5,Sesbania punicea,vertebrate,NA,Sesbania punicea,species,Fabaceae,Sesbania,zygomorphic,actinomorphic zygomorphic,zygomorphic
Shorea parvifolia,Dipterocarpaceae,NA,NA,NA,NA,4.20585,NA,200,NA,"Sakai, S., Momose, K., Yumoto, T., Kato, M. & Inoue, T. (1999). Beetle pollination of Shorea parvifolia (section Mutica, Dipterocarpaceae) in a general flowering period in Sarawak, Malaysia. American Journal of Botany, 86, 62-69.",NA,N,NA,NA,NA,NA,NA,songetal20223,1.208333333,Shorea parvifolia,invertebrate,NA,Shorea parvifolia,species,Dipterocarpaceae,Shorea,NA,actinomorphic,actinomorphic
Sideroxylon obtusifolium,Sapotaceae,NA,NA,NA,NA,-7.341861111,NA,460,NA,"Virgínia de Lima Leite, A. & Machado, I.C. (2010). Reproductive biology of woody species in Caatinga, a dry forest of northeastern Brazil. Journal of Arid Environments, 74, 1374-1380.",NA,N,NA,NA,NA,NA,NA,songetal20223,3,Sideroxylon obtusifolium,invertebrate,NA,Sideroxylon obtusifolium,species,Sapotaceae,Sideroxylon,actinomorphic,actinomorphic,actinomorphic
Silene asclepiadea,Caryophyllaceae,NA,NA,NA,NA,27.90138889,NA,3325,NA,"Gao, J., Yingze, X. & Huang, S.-Q. (2015). Effects of floral sexual investment and dichogamy on floral longevity. Journal of Plant Ecology, 8, 116-121.",NA,NA,NA,NA,NA,NA,NA,songetal20223,6.35,Silene asclepiadea,invertebrate,NA,Silene asclepiadea,species,Caryophyllaceae,Silene,actinomorphic,actinomorphic zygomorphic,actinomorphic
Silene chungtienensis,Caryophyllaceae,NA,NA,NA,NA,27.90138889,NA,3325,NA,"Gao, J., Yingze, X. & Huang, S.-Q. (2015). Effects of floral sexual investment and dichogamy on floral longevity. Journal of Plant Ecology, 8, 116-121.",NA,NA,NA,NA,NA,NA,NA,songetal20223,9.26,Silene chungtienensis,invertebrate,NA,Silene chungtienensis,species,Caryophyllaceae,Silene,actinomorphic,actinomorphic zygomorphic,actinomorphic
Silene gracilicaulis,Caryophyllaceae,NA,NA,NA,NA,27.90138889,NA,3325,NA,"Gao, J., Yingze, X. & Huang, S.-Q. (2015). Effects of floral sexual investment and dichogamy on floral longevity. Journal of Plant Ecology, 8, 116-121.",NA,NA,NA,NA,NA,NA,NA,songetal20223,6.65,Silene gracilicaulis,invertebrate,NA,Silene gracilicaulis,species,Caryophyllaceae,Silene,actinomorphic,actinomorphic zygomorphic,actinomorphic
Silene saxifraga,Caryophyllaceae,NA,NA,NA,NA,40.06666667,NA,2675,NA,"Makrodimos, N., Blionis, G.J., Krigas, N. & Vokou, D. (2008). Flower morphology, phenology and visitor patterns in an alpine community on Mt Olympos, Greece. Flora, 203, 449-468.",NA,NA,NA,NA,NA,NA,NA,songetal20223,5.2,Silene saxifraga,invertebrate,NA,Silene saxifraga,species,Caryophyllaceae,Silene,actinomorphic,actinomorphic zygomorphic,actinomorphic
Silene saxifraga,Caryophyllaceae,NA,NA,NA,NA,40.06666667,NA,2675,NA,"Makrodimos, N., Blionis, G.J., Krigas, N. & Vokou, D. (2008). Flower morphology, phenology and visitor patterns in an alpine community on Mt Olympos, Greece. Flora, 203, 449-468.",NA,NA,NA,NA,NA,NA,NA,songetal20223,3,Silene saxifraga,invertebrate,NA,Silene saxifraga,species,Caryophyllaceae,Silene,actinomorphic,actinomorphic zygomorphic,actinomorphic
Silene vulgaris,Caryophyllaceae,NA,NA,NA,NA,40.06666667,NA,2675,NA,"Makrodimos, N., Blionis, G.J., Krigas, N. & Vokou, D. (2008). Flower morphology, phenology and visitor patterns in an alpine community on Mt Olympos, Greece. Flora, 203, 449-468.",NA,NA,NA,NA,NA,NA,NA,songetal20223,4.7,Silene vulgaris,NA,NA,Silene vulgaris,species,Caryophyllaceae,Silene,actinomorphic,actinomorphic zygomorphic,actinomorphic
Silene vulgaris,Caryophyllaceae,NA,NA,NA,NA,40.06666667,NA,2675,NA,"Makrodimos, N., Blionis, G.J., Krigas, N. & Vokou, D. (2008). Flower morphology, phenology and visitor patterns in an alpine community on Mt Olympos, Greece. Flora, 203, 449-468.",NA,NA,NA,NA,NA,NA,NA,songetal20223,3.7,Silene vulgaris,NA,NA,Silene vulgaris,species,Caryophyllaceae,Silene,actinomorphic,actinomorphic zygomorphic,actinomorphic
Silene yunnanensis,Caryophyllaceae,NA,NA,NA,NA,27.90138889,NA,3325,NA,"Gao, J., Yingze, X. & Huang, S.-Q. (2015). Effects of floral sexual investment and dichogamy on floral longevity. Journal of Plant Ecology, 8, 116-121.",NA,NA,NA,NA,NA,NA,NA,songetal20223,7.28,Silene yunnanensis,invertebrate,NA,Silene yunnanensis,species,Caryophyllaceae,Silene,actinomorphic,actinomorphic zygomorphic,actinomorphic
Sinningia sp.,Gesneriaceae,NA,NA,NA,NA,8.933333333,NA,74,NA,"Ramirez, N. & Brito, Y. (1992). Pollination biology in a palm swamp community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society, 110, 277-302. Ramirez, N. & Brito, Y. (1990). Reproductive biology of a tropical palm swamp community in the venezuelan llanos, American Journal of Botany, 77: 1260-1271",NA,Y,NA,NA,NA,NA,NA,songetal20223,2.5,Sinningia sp.,vertebrate,NA,Sinningia,genus,Gesneriaceae,Sinningia,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Sinojackia huangmeiensis,Styracaceae,NA,NA,NA,NA,29.99375,NA,101,NA,"Zhang, J.-J., Ye, Q.-G., Yao, X.-H., Zhang, S.-J. & Huang, H.-W. (2008). Preliminary studies on the floral biology,breeding system and reproductive success of Sinojackia huangmeiensis,an endangered plant in a fragmented habitat in Hubei province,China. Journal of Plant Ecology (Chinese Version), 32, 743-750.",NA,Y,NA,NA,NA,NA,NA,songetal20223,6,Sinojackia huangmeiensis,invertebrate,NA,Sinojackia huangmeiensis,species,Styracaceae,Sinojackia,NA,actinomorphic,actinomorphic
Siphoneugena densiflora,Myrtaceae,NA,NA,NA,NA,-15.86666667,NA,1087.5,NA,"Oliveira, P. & Gibbs, P. (2000). Reproductive biology of woody plants in a cerrado community of Central Brazil. Flora, 195, 311-329.",NA,N,NA,NA,NA,NA,NA,songetal20223,1,Siphoneugena densiflora,invertebrate,NA,Siphoneugena densiflora,species,Myrtaceae,Siphoneugena,NA,actinomorphic,actinomorphic
Smilax glauca_male,Smilacaceae,NA,NA,NA,NA,41.48333333,NA,29,NA,"Rathcke, B. (1988). Flowering Phenologies in a Shrub Community: Competition and Constraints. Journal of Ecology, 76, 975-994.",NA,N,NA,_male,NA,NA,NA,songetal20223,2,Smilax glauca,invertebrate,NA,Smilax glauca,species,Smilacaceae,Smilax,actinomorphic,actinomorphic,actinomorphic
Solanum  americanum,Solanaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,1.3,Solanum americanum,invertebrate,NA,Solanum americanum,species,Solanaceae,Solanum,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
Solanum  fasioloides,Solanaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,1,Solanum fasioloides,invertebrate,NA,Solanum,genus,Solanaceae,Solanum,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Solanum  hispidum,Solanaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,2.4,Solanum hispidum,invertebrate,NA,Solanum asperolanatum,species,Solanaceae,Solanum,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Solanum  nudum,Solanaceae,NA,NA,NA,NA,10.24277778,NA,1450,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318. Wyatt R , Broyles S B . The weedy tropical milkweeds Asclepias curassavica and A. fruticosa are self-compatible. Biotropica, 1997, 29(2):232-234.",NA,NA,NA,NA,NA,NA,NA,songetal20223,1.8,Solanum nudum,invertebrate,NA,Solanum nudum,species,Solanaceae,Solanum,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Solanum  siparunoides,Solanaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,2.4,Solanum siparunoides,invertebrate,NA,Solanum aturense,species,Solanaceae,Solanum,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Solanum  trizygum,Solanaceae,NA,NA,NA,NA,10.24277778,NA,1450,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318. Wyatt R , Broyles S B . The weedy tropical milkweeds Asclepias curassavica and A. fruticosa are self-compatible. Biotropica, 1997, 29(2):232-234.",NA,NA,NA,NA,NA,NA,NA,songetal20223,4.1,Solanum trizygum,invertebrate,NA,Solanum trizygum,species,Solanaceae,Solanum,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Solanum melissarum,Solanaceae,NA,NA,NA,NA,-17.85944444,NA,776,NA,"Coelho, C., Gomes, D., Guilherme , F. & Souza, L. (2017). Reproductive biology of endemic Solanum melissarum Bohs (Solanaceae) and updating of its current geographic distribution as the basis for its conservation?…. Brazilian Journal of Biology, 77, 809-819.",NA,N,NA,NA,NA,NA,NA,songetal20223,1,Solanum melissarum,invertebrate,NA,Solanum melissarum,species,Solanaceae,Solanum,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Solanum sisymbriifolium,Solanaceae,NA,NA,NA,NA,23.76189722,NA,18,NA,"Saha, M. & Datta, B.K. (2017). Reproductive biology of Solanum sisymbriifolium Lamk.(Solanaceae) in Tripura, North-east India. The International Journal of Plant Reproductive Biology, 9, 59-62.",NA,Y,NA,NA,NA,NA,NA,songetal20223,3.05,Solanum sisymbriifolium,invertebrate,NA,Solanum sisymbriifolium,species,Solanaceae,Solanum,actinomorphic zygomorphic,actinomorphic zygomorphic,NA
Solenophora calycosa,Gesneriaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,4.9,Solenophora calycosa,vertebrate,NA,Solenophora calycosa,species,Gesneriaceae,Solenophora,zygomorphic,actinomorphic zygomorphic,zygomorphic
Spenceria ramalana,Rosaceae,NA,NA,NA,NA,27.90138889,NA,3325,NA,"Gao, J., Yingze, X. & Huang, S.-Q. (2015). Effects of floral sexual investment and dichogamy on floral longevity. Journal of Plant Ecology, 8, 116-121.",NA,NA,NA,NA,NA,NA,NA,songetal20223,4.67,Spenceria ramalana,invertebrate,NA,Spenceria ramalana,species,Rosaceae,Spenceria,NA,actinomorphic zygomorphic,NA
Spondias tuberosa,Anacardiaceae,NA,NA,NA,NA,-7.341861111,NA,460,NA,"Virgínia de Lima Leite, A. & Machado, I.C. (2010). Reproductive biology of woody species in Caatinga, a dry forest of northeastern Brazil. Journal of Arid Environments, 74, 1374-1380.",NA,N,NA,NA,NA,NA,NA,songetal20223,2.5,Spondias tuberosa,invertebrate,NA,Spondias tuberosa,species,Anacardiaceae,Spondias,actinomorphic,actinomorphic zygomorphic,actinomorphic
Stellaria yunnanensis,Caryophyllaceae,NA,NA,NA,NA,27.90138889,NA,3325,NA,"Gao, J., Yingze, X. & Huang, S.-Q. (2015). Effects of floral sexual investment and dichogamy on floral longevity. Journal of Plant Ecology, 8, 116-121.",NA,NA,NA,NA,NA,NA,NA,songetal20223,2.17,Stellaria yunnanensis,invertebrate,NA,Stellaria yunnanensis,species,Caryophyllaceae,Stellaria,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic
