og_species,sym_all,sources
Adriana tomentosa,actinomorphic,stephens2021
Adromischus cristatus,actinomorphic,2023TRY_350
Aechmea araneosa,actinomorphic zygomorphic,jolyandschoen2021 yoderetal2020
Aechmea blumenavii,actinomorphic,yoderetal2020
Aechmea bromeliifolia,zygomorphic,yoderetal2020
Aechmea chantiniii,actinomorphic,yoderetal2020
Aechmea comata,actinomorphic,jolyandschoen2021
Aechmea contracta,actinomorphic,yoderetal2020
Aechmea corymbosa,actinomorphic,yoderetal2020
Aechmea cylindrata,actinomorphic,yoderetal2020
Aechmea distichantha,actinomorphic,jolyandschoen2021 yoderetal2020
Aechmea gamosepala,actinomorphic,yoderetal2020
Aechmea lamarchei,actinomorphic,jolyandschoen2021
Aechmea lingulata,actinomorphic,yoderetal2020
Aechmea macrochlamys,actinomorphic,jolyandschoen2021
Aechmea mutica,actinomorphic,yoderetal2020
Aechmea nudicaulis,actinomorphic,yoderetal2020
Aechmea paniculigera,actinomorphic,yoderetal2020
Aechmea pineliana,actinomorphic,yoderetal2020
Aechmea rubiginosa,actinomorphic,yoderetal2020
Aechmea sp1 M_PL_063,actinomorphic,yoderetal2020
Aechmea triangularis,actinomorphic,yoderetal2020
Aechmea vanhoutteana,actinomorphic,yoderetal2020
Aechmea victoriana,actinomorphic,jolyandschoen2021 yoderetal2020
Aeginetia indica,zygomorphic,yoderetal2020
Aegiphila obducta,actinomorphic,yoderetal2020
Aegopodium podagraria,actinomorphic,jolyandschoen2021 yoderetal2020
Aeollanthus buchnerianus,zygomorphic,2023TRY_350
Aeollanthus engleri,zygomorphic,2023TRY_350
Aeollanthus homblei,zygomorphic,2023TRY_350
Aeollanthus pubescens,zygomorphic,2023TRY_350
Aeollanthus subacaulis,zygomorphic,2023TRY_350
Aeonium gorgoneum,actinomorphic,2023TRY_350
Aerangis coriacea,zygomorphic,2023TRY_350
Aerangis kotschyana,zygomorphic,2023TRY_350
Aerangis luteoalba,zygomorphic,2023TRY_350
Aerva javanica,actinomorphic,stephens2021 2023TRY_350
Aerva leubnitziae,actinomorphic,2023TRY_350
Aeschynomene abyssinica,zygomorphic,2023TRY_350
Aeschynomene americana,zygomorphic,2023TRY_350
Aeschynomene cristata,zygomorphic,2023TRY_350
Aeschynomene elaphroxylon,zygomorphic,2023TRY_350
Aeschynomene indica,zygomorphic,yoderetal2020 stephens2021 2023TRY_350
Aeschynomene megalophylla,zygomorphic,2023TRY_350
Aeschynomene mimosifolia,zygomorphic,2023TRY_350
Aeschynomene nyassana,zygomorphic,2023TRY_350
Aeschynomene pratensis,zygomorphic,jolyandschoen2021 yoderetal2020
Aeschynomene schimperi,zygomorphic,2023TRY_350
Aeschynomene sensitiva,zygomorphic,2023TRY_350
Aesculus camea,actinomorphic,yoderetal2020
Aesculus glabra,actinomorphic,yoderetal2020
Aesculus hippocastanum,actinomorphic,yoderetal2020
Aesculus pavia,zygomorphic,jolyandschoen2021
Aesculus sylvatica,actinomorphic,yoderetal2020
Aesculus turbinata,actinomorphic,yoderetal2020
Aetheorrina bulbosa,actinomorphic,yoderetal2020
Aethusa cynapium,actinomorphic,yoderetal2020
